Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"A401","PICO_W5500_EVB","Pico-W5500-EVB_Header_Holes",92.400000,-95.462500,180.000000,top
"C301","3.3uF_50V","C_1210_3225Metric",80.400000,-39.100000,-90.000000,top
"C302","0.1uF_100V","C_0402_1005Metric",77.900000,-39.100000,-90.000000,top
"C303","1uF_25V","C_0402_1005Metric",79.900000,-45.600000,90.000000,top
"C304","1uF_25V","C_0402_1005Metric",76.400000,-47.100000,0.000000,top
"C305","47uF_10V","C_0805_2012Metric",76.400000,-49.100000,0.000000,top
"C501","0.1uF_100V","C_0402_1005Metric",121.400000,-34.600000,0.000000,top
"C502","1uF_35V","C_0402_1005Metric",123.400000,-34.600000,180.000000,top
"C601","0.1uF_100V","C_0402_1005Metric",121.400000,-54.600000,0.000000,top
"C602","1uF_35V","C_0402_1005Metric",123.400000,-54.600000,180.000000,top
"C701","0.1uF_100V","C_0402_1005Metric",121.400000,-74.600000,0.000000,top
"C702","1uF_35V","C_0402_1005Metric",123.400000,-74.600000,180.000000,top
"C801","0.1uF_100V","C_0402_1005Metric",121.400000,-94.600000,0.000000,top
"C802","1uF_35V","C_0402_1005Metric",123.400000,-94.600000,180.000000,top
"C901","0.1uF_100V","C_0402_1005Metric",121.400000,-134.600000,0.000000,top
"C902","1uF_35V","C_0402_1005Metric",123.400000,-134.600000,180.000000,top
"C1001","0.1uF_100V","C_0402_1005Metric",121.400000,-114.600000,0.000000,top
"C1002","1uF_35V","C_0402_1005Metric",123.400000,-114.600000,180.000000,top
"C1101","0.1uF_100V","C_0402_1005Metric",121.400000,-154.600000,0.000000,top
"C1102","1uF_35V","C_0402_1005Metric",123.400000,-154.600000,180.000000,top
"D301","D_50V_15A","POWERDI5_DIO",121.400000,-28.600000,0.000000,top
"D302","LED_RED","LED_0402-1005_KNB",123.900000,-23.350000,180.000000,top
"D401","D_SCHOTTKY_20V_1A","DIOM3616X98N",76.900000,-93.100000,180.000000,top
"J501","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",127.400000,-41.600000,-90.000000,top
"J601","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",127.400000,-61.600000,-90.000000,top
"J701","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",127.400000,-81.600000,-90.000000,top
"J801","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",127.400000,-101.600000,-90.000000,top
"J901","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",127.400000,-141.600000,-90.000000,top
"J1001","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",127.400000,-121.600000,-90.000000,top
"J1101","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",127.400000,-161.600000,-90.000000,top
"Q301","Transistor_BJT_NPN","SOT-23",79.400000,-68.600000,-90.000000,top
"Q302","MOSFET-P-CH-EN_60V_50A","TO-252-2",109.400000,-41.600000,-90.000000,top
"R301","10.0k","R_0402_1005Metric",109.400000,-34.600000,0.000000,top
"R302","2.7k","R_0402_1005Metric",79.400000,-65.100000,0.000000,top
"R303","2.32k","R_0805_2012Metric",121.150000,-23.350000,0.000000,top
"R502","100","R_0402_1005Metric",125.400000,-37.600000,90.000000,top
"R602","100","R_0402_1005Metric",125.400000,-57.600000,90.000000,top
"R702","100","R_0402_1005Metric",125.400000,-77.600000,90.000000,top
"R802","100","R_0402_1005Metric",125.400000,-97.600000,90.000000,top
"R902","100","R_0402_1005Metric",125.400000,-137.600000,90.000000,top
"R1002","100","R_0402_1005Metric",125.400000,-117.600000,90.000000,top
"R1102","100","R_0402_1005Metric",125.400000,-157.600000,90.000000,top
"T301","TERM_BLK_HDR_2POS_90DEG_0.2IN","PHOENIX_1757242",118.192500,-20.600000,180.000000,top
"U301","TPSM365R6V5RDNR","RDN0011A-MFG",76.400000,-44.100000,-90.000000,top
"U501","MAX13431E","21-0137I_T1033-1_MXM",122.400000,-37.600000,0.000000,top
"U601","MAX13431E","21-0137I_T1033-1_MXM",122.400000,-57.600000,0.000000,top
"U701","MAX13431E","21-0137I_T1033-1_MXM",122.400000,-77.600000,0.000000,top
"U801","MAX13431E","21-0137I_T1033-1_MXM",122.400000,-97.600000,0.000000,top
"U901","MAX13431E","21-0137I_T1033-1_MXM",122.400000,-137.600000,0.000000,top
"U1001","MAX13431E","21-0137I_T1033-1_MXM",122.400000,-117.600000,0.000000,top
"U1101","MAX13431E","21-0137I_T1033-1_MXM",122.400000,-157.600000,0.000000,top
