Comment,Designator,Footprint,LCSC
50V 3.3uF,C301,1210,C1021610
CAP CER 0.1UF 100V X5R,C302 C501 C601 C701 C801 C901 C1001 C1101,0402,C162178
CAP CER 1UF 25V X5R,C303 C304,0402,C711085
CAP CER 47UF 10V X5R,C305,0805,C2182652
CAP CER 1UF 35V X5R,C502 C602 C702 C802 C902 C1002 C1102,0402,C307413
50V 15A PowerDI-5 Super Barrier Rectifier,D301,PowerDI-5,C211388
LED RED CLEAR CHIP SMD,D302,0402,C2852592
DIODE SCHOTTKY 20V 1A,D401,SOD-123FL,C223608
CONN FFC FPC BOTTOM 10POS 1MM RA,J501 J601 J701 J801 J901 J1001 J1101,SMD P=1mm,C2914097
TRANS NPN 140V 0.6A,Q301,SOT-23,C150072
1PCSPChannel 60V 50A,Q302,TO-252-2,C709875
RES SMD 10K OHM 5% 1/10W,R301,0402,C278577
RES 2.7K OHM 1% 62.5mW ,R302,0402,C138017
RA73F 2A 2K32 0.1% 5K RL,R303,0805,C3961061
RES SMD 100 OHM 1% 62.5mW,R502 R602 R702 R802 R902 R1002 R1102,0402,C25076
TERM BLOCK HDR 2POS 90DEG 5.08MM,T301,Push-Pull P=5.08mm,C90074
DC-DC 5V 600mA Output 3-65V Input,U301,QFN-11(3.5x4.5),C19078014
IC TRANSCEIVER HALF 1/1,U501 U601 U701 U801 U901 U1001 U1101,TDFN-10-EP(3x3),C2672811
