Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"A401","PICO_W5500_EVB","Pico-W5500-EVB_Header_Holes",92.400000,-95.462500,180.000000,top
"C301","3.3uF_50V","C_1210_3225Metric",77.400000,-36.600000,0.000000,top
"C302","0.1uF_100V","C_0402_1005Metric",77.400000,-39.600000,0.000000,top
"C303","1uF_25V","C_0402_1005Metric",80.400000,-42.600000,-90.000000,top
"C304","1uF_25V","C_0402_1005Metric",80.400000,-44.600000,90.000000,top
"C501","0.1uF_100V","C_0402_1005Metric",121.400000,-33.600000,0.000000,top
"C502","1uF_35V","C_0402_1005Metric",123.400000,-33.600000,180.000000,top
"C601","0.1uF_100V","C_0402_1005Metric",121.400000,-53.600000,0.000000,top
"C602","1uF_35V","C_0402_1005Metric",123.400000,-53.600000,180.000000,top
"C701","0.1uF_100V","C_0402_1005Metric",121.400000,-73.600000,0.000000,top
"C702","1uF_35V","C_0402_1005Metric",123.400000,-73.600000,180.000000,top
"C801","0.1uF_100V","C_0402_1005Metric",121.400000,-93.600000,0.000000,top
"C802","1uF_35V","C_0402_1005Metric",123.400000,-93.600000,180.000000,top
"C901","0.1uF_100V","C_0402_1005Metric",121.400000,-133.600000,0.000000,top
"C902","1uF_35V","C_0402_1005Metric",123.400000,-133.600000,180.000000,top
"C1001","0.1uF_100V","C_0402_1005Metric",121.400000,-113.600000,0.000000,top
"C1002","1uF_35V","C_0402_1005Metric",123.400000,-113.600000,180.000000,top
"C1101","0.1uF_100V","C_0402_1005Metric",121.400000,-153.600000,0.000000,top
"C1102","1uF_35V","C_0402_1005Metric",123.400000,-153.600000,180.000000,top
"D301","D_50V_15A","POWERDI5_DIO",121.400000,-27.600000,0.000000,top
"D401","D_SCHOTTKY_20V_1A","DIOM3616X98N",77.400000,-93.100000,180.000000,top
"D501","D_Zener_47V_1W","D_SMA",121.400000,-40.600000,0.000000,top
"D502","D","D_SMB",121.400000,-44.600000,180.000000,top
"D601","D_Zener_47V_1W","D_SMA",121.400000,-60.600000,0.000000,top
"D602","D","D_SMB",121.400000,-64.600000,180.000000,top
"D701","D_Zener_47V_1W","D_SMA",121.400000,-80.600000,0.000000,top
"D702","D","D_SMB",121.400000,-84.600000,180.000000,top
"D801","D_Zener_47V_1W","D_SMA",121.400000,-100.600000,0.000000,top
"D802","D","D_SMB",121.400000,-104.600000,180.000000,top
"D901","D_Zener_47V_1W","D_SMA",121.400000,-140.600000,0.000000,top
"D902","D","D_SMB",121.400000,-144.600000,180.000000,top
"D1001","D_Zener_47V_1W","D_SMA",121.400000,-120.600000,0.000000,top
"D1002","D","D_SMB",121.400000,-124.600000,180.000000,top
"D1101","D_Zener_47V_1W","D_SMA",121.400000,-160.600000,0.000000,top
"D1102","D","D_SMB",121.400000,-164.600000,180.000000,top
"J501","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",127.400000,-41.600000,-90.000000,top
"J601","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",127.400000,-61.600000,-90.000000,top
"J701","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",127.400000,-81.600000,-90.000000,top
"J801","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",127.400000,-101.600000,-90.000000,top
"J901","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",127.400000,-141.600000,-90.000000,top
"J1001","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",127.400000,-121.600000,-90.000000,top
"J1101","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",127.400000,-161.600000,-90.000000,top
"Q301","MOSFET-N-CH-EN_100V_260mA","SOT-23",79.400000,-66.600000,180.000000,top
"Q302","MOSFET-P-CH-EN_60V_50A","TO-252-2",109.400000,-41.600000,-90.000000,top
"R301","1k","R_0402_1005Metric",109.400000,-34.600000,0.000000,top
"R302","3.6k","R_0402_1005Metric",79.400000,-63.600000,-90.000000,top
"R501","0.24","R_2512_6332Metric",113.400000,-48.600000,0.000000,top
"R502","100","R_0402_1005Metric",125.400000,-36.600000,90.000000,top
"R601","0.24","R_2512_6332Metric",113.400000,-62.600000,0.000000,top
"R602","100","R_0402_1005Metric",125.400000,-56.600000,90.000000,top
"R701","0.24","R_2512_6332Metric",113.400000,-82.600000,0.000000,top
"R702","100","R_0402_1005Metric",125.400000,-76.600000,90.000000,top
"R801","0.24","R_2512_6332Metric",113.400000,-102.600000,0.000000,top
"R802","100","R_0402_1005Metric",125.400000,-96.600000,90.000000,top
"R901","0.24","R_2512_6332Metric",113.400000,-142.600000,0.000000,top
"R902","100","R_0402_1005Metric",125.400000,-136.600000,90.000000,top
"R1001","0.24","R_2512_6332Metric",113.400000,-122.600000,0.000000,top
"R1002","100","R_0402_1005Metric",125.400000,-116.600000,90.000000,top
"R1101","0.24","R_2512_6332Metric",113.400000,-162.600000,0.000000,top
"R1102","100","R_0402_1005Metric",125.400000,-156.600000,90.000000,top
"T301","TERM_BLK_HDR_2POS_90DEG_0.2IN","PHOENIX_1757242",118.192500,-20.600000,180.000000,top
"U301","TPSM365R6V5RDNR","RDN0011A-MFG",76.400000,-43.600000,-90.000000,top
"U501","MAX13431E","21-0137I_T1033-1_MXM",122.400000,-36.600000,0.000000,top
"U601","MAX13431E","21-0137I_T1033-1_MXM",122.400000,-56.600000,0.000000,top
"U701","MAX13431E","21-0137I_T1033-1_MXM",122.400000,-76.600000,0.000000,top
"U801","MAX13431E","21-0137I_T1033-1_MXM",122.400000,-96.600000,0.000000,top
"U901","MAX13431E","21-0137I_T1033-1_MXM",122.400000,-136.600000,0.000000,top
"U1001","MAX13431E","21-0137I_T1033-1_MXM",122.400000,-116.600000,0.000000,top
"U1101","MAX13431E","21-0137I_T1033-1_MXM",122.400000,-156.600000,0.000000,top
